variable,equipment_id,equipment_type,physical_quantity,role,unit,controllable,lower_limit,upper_limit,warning_lower_limit,warning_upper_limit,source,sources,effect_targets
C_005:SP_,C_005,compressor,rotational_speed_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'rotational_speed', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.4}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.65}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.15}]"
C_008:ST,C_008,compressor,equipment_status,input,binary,True,0.0,1.0,0.0,1.0,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'rotational_speed', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.65}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.85}, {'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.15}]"
C_014:SP_out,C_014,compressor,outlet_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
C_016:SP_out,C_016,compressor,outlet_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
C_017:ST,C_017,compressor,equipment_status,input,binary,True,0.0,1.0,0.0,1.0,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'rotational_speed', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.65}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.85}, {'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.15}]"
C_019:SP_out,C_019,compressor,outlet_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
C_021:SP_out,C_021,compressor,outlet_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
C_022:SP_out,C_022,compressor,outlet_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
C_023:SP_out,C_023,compressor,outlet_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
E_001:SNQ,E_001,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_018:SNQ,E_018,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_045:SNQ,E_045,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_066:SNQ,E_066,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_082:SNQ,E_082,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_097:SNQ,E_097,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_101:SNQ,E_101,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_109:SNQ,E_109,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_112:SNQ,E_112,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_119:SNQ,E_119,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
E_120:SNQ,E_120,demand_boundary,demand_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'negative', 'gain': 0.35}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'linepack', 'direction': 'negative', 'gain': 0.4}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.2}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.35}]"
R_001:SPD,R_001,pressure_regulator,downstream_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.1}]"
R_004:SPD,R_004,pressure_regulator,downstream_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.1}]"
R_005:ST,R_005,pressure_regulator,equipment_status,input,binary,True,0.0,1.0,0.0,1.0,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'rotational_speed', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.65}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.85}, {'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.15}]"
R_006:ST,R_006,pressure_regulator,equipment_status,input,binary,True,0.0,1.0,0.0,1.0,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'rotational_speed', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.65}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.45}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.85}, {'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.15}]"
R_007:SPD,R_007,pressure_regulator,downstream_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.1}]"
R_008:SPD,R_008,pressure_regulator,downstream_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.1}]"
R_010:SPD,R_010,pressure_regulator,downstream_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'regulator_range', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.1}]"
T_001:SNQ,T_001,gas_source,supply_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.5}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'compressor_load', 'direction': 'negative', 'gain': 0.08}, {'physical_quantity': 'power', 'direction': 'negative', 'gain': 0.05}]"
T_002:SNQ,T_002,gas_source,supply_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.5}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'compressor_load', 'direction': 'negative', 'gain': 0.08}, {'physical_quantity': 'power', 'direction': 'negative', 'gain': 0.05}]"
T_003:SNQ,T_003,gas_source,supply_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.5}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'compressor_load', 'direction': 'negative', 'gain': 0.08}, {'physical_quantity': 'power', 'direction': 'negative', 'gain': 0.05}]"
T_004:SNQ,T_004,gas_source,supply_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.5}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'compressor_load', 'direction': 'negative', 'gain': 0.08}, {'physical_quantity': 'power', 'direction': 'negative', 'gain': 0.05}]"
T_005:SNQ,T_005,gas_source,supply_flow_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.5}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'compressor_load', 'direction': 'negative', 'gain': 0.08}, {'physical_quantity': 'power', 'direction': 'negative', 'gain': 0.05}]"
T_005:SP,T_005,gas_source,source_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.15}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
