variable_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
43,43,53,54,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
44,44,45,51,52,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
45,45,44,51,52,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
46,46,53,54,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
47,47,51,52,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
48,48,49,51,52,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
49,49,48,51,52,50,53,54,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
50,50,49,53,54,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
51,51,52,0,2,4,6,8,10,11,13,15,17,19,21,22,24,26,28,30,32,33,35,37,39,40,42,44,45,47
52,52,51,22,24,26,28,30,32,33,37,39,40,42,44,45,47,123,15,95,96,97,0,55,56,13,87,88,89,4
53,53,54,1,3,5,7,9,12,14,16,18,20,23,25,27,29,31,34,36,38,41,43,46,50,115,116,117,73,74
54,54,53,23,25,27,29,31,34,38,41,43,46,50,20,115,116,117,9,73,74,78,128,18,107,108,109,49,5,65
55,55,0,56,51,52,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
56,56,0,55,51,52,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
57,57,1,58,53,54,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
58,58,1,57,53,54,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
59,59,2,60,51,52,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
60,60,2,59,51,52,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
61,61,3,62,53,54,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
62,62,3,61,53,54,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
63,63,4,64,51,52,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
64,64,4,63,51,52,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
65,65,5,66,53,54,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
66,66,5,65,53,54,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
67,67,6,68,51,52,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
68,68,6,67,51,52,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
69,69,7,70,53,54,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
70,70,7,69,53,54,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
71,71,8,72,51,52,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
72,72,8,71,51,52,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
73,73,9,74,53,54,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
74,74,9,73,53,54,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
75,75,10,76,51,52,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
76,76,10,75,51,52,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
77,77,11,13,15,17,19,21,22,24,26,28,30,32,35,40,42,44,45,47,51,52,77,77,77,77,77,77,77,77
78,78,12,14,16,18,20,23,25,27,29,31,36,41,43,46,53,54,78,78,78,78,78,78,78,78,78,78,78,78
79,79,11,80,81,22,24,26,28,30,32,35,40,42,44,47,51,52,82,79,79,79,79,79,79,79,79,79,79,79
80,80,11,79,81,22,24,26,28,30,32,35,51,52,82,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
81,81,11,79,80,35,51,52,82,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
82,82,11,22,24,26,28,30,32,35,40,42,44,47,79,80,81,82,82,82,82,82,82,82,82,82,82,82,82,82
83,83,12,84,85,23,25,27,29,31,36,41,43,46,86,53,54,83,83,83,83,83,83,83,83,83,83,83,83,83
84,84,12,83,85,23,25,27,29,31,36,86,53,54,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
85,85,12,83,84,36,86,53,54,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
86,86,12,23,25,27,29,31,36,41,43,46,83,84,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
87,87,13,88,89,22,24,26,28,30,32,35,40,42,44,47,90,51,52,87,87,87,87,87,87,87,87,87,87,87
88,88,13,87,89,22,24,26,28,30,32,35,90,51,52,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
89,89,13,87,88,35,90,51,52,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
90,90,13,22,24,26,28,30,32,35,40,42,44,47,87,88,89,90,90,90,90,90,90,90,90,90,90,90,90,90
91,91,14,92,93,23,25,27,29,31,36,41,43,46,94,53,54,91,91,91,91,91,91,91,91,91,91,91,91,91
92,92,14,91,93,23,25,27,29,31,36,94,53,54,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
93,93,14,91,92,36,94,53,54,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
94,94,14,23,25,27,29,31,36,41,43,46,91,92,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
95,95,15,96,97,22,24,26,28,30,32,35,40,42,44,47,98,51,52,95,95,95,95,95,95,95,95,95,95,95
96,96,15,95,97,22,24,26,28,30,32,35,98,51,52,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
97,97,15,95,96,35,98,51,52,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
98,98,15,22,24,26,28,30,32,35,40,42,44,47,95,96,97,98,98,98,98,98,98,98,98,98,98,98,98,98
99,99,16,100,101,23,25,27,29,31,36,41,43,46,102,53,54,99,99,99,99,99,99,99,99,99,99,99,99,99
100,100,16,99,101,23,25,27,29,31,36,102,53,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
101,101,16,99,100,36,102,53,54,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
102,102,16,23,25,27,29,31,36,41,43,46,99,100,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
103,103,17,104,105,22,24,26,28,30,32,35,40,42,44,47,106,51,52,103,103,103,103,103,103,103,103,103,103,103
104,104,17,103,105,22,24,26,28,30,32,35,106,51,52,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
105,105,17,103,104,35,106,51,52,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
106,106,17,22,24,26,28,30,32,35,40,42,44,47,103,104,105,106,106,106,106,106,106,106,106,106,106,106,106,106
107,107,18,108,109,23,25,27,29,31,36,41,43,46,110,53,54,107,107,107,107,107,107,107,107,107,107,107,107,107
108,108,18,107,109,23,25,27,29,31,36,110,53,54,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
109,109,18,107,108,36,110,53,54,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
110,110,18,23,25,27,29,31,36,41,43,46,107,108,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
111,111,19,112,113,22,24,26,28,30,32,35,40,42,44,47,114,51,52,111,111,111,111,111,111,111,111,111,111,111
112,112,19,111,113,22,24,26,28,30,32,35,114,51,52,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
113,113,19,111,112,35,114,51,52,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
114,114,19,22,24,26,28,30,32,35,40,42,44,47,111,112,113,114,114,114,114,114,114,114,114,114,114,114,114,114
115,115,20,116,117,23,25,27,29,31,36,41,43,46,118,53,54,115,115,115,115,115,115,115,115,115,115,115,115,115
116,116,20,115,117,23,25,27,29,31,36,118,53,54,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
117,117,20,115,116,36,118,53,54,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
118,118,20,23,25,27,29,31,36,41,43,46,115,116,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
119,119,21,120,121,22,24,26,28,30,32,35,40,42,44,47,51,52,122,119,119,119,119,119,119,119,119,119,119,119
120,120,21,119,121,22,24,26,28,30,32,35,51,52,122,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
121,121,21,119,120,35,51,52,122,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
122,122,21,22,24,26,28,30,32,35,40,42,44,47,119,120,121,122,122,122,122,122,122,122,122,122,122,122,122,122
123,123,33,17,51,52,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
124,124,34,14,53,54,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
125,125,35,17,51,52,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
126,126,36,14,53,54,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
127,127,37,17,51,52,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
128,128,38,14,53,54,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
129,129,39,17,51,52,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
